Datetime,TSLA,TSLA,TSLA,TSLA,TSLA
2025-09-30 18:30:00,442.9700012207031,443.3500061035156,442.5899963378906,443.3500061035156,259499
2025-09-30 18:31:00,443.2804870605469,443.64990234375,442.9237976074219,442.96649169921875,181612
2025-09-30 18:32:00,443.2300109863281,443.3599853515625,442.92999267578125,443.30999755859375,127524
2025-09-30 18:33:00,443.20001220703125,443.3900146484375,442.9700012207031,443.2598876953125,113478
2025-09-30 18:34:00,442.9599914550781,443.4100036621094,442.9200134277344,443.18499755859375,118389
2025-09-30 18:35:00,443.1499938964844,443.4027099609375,442.82000732421875,442.9200134277344,119887
2025-09-30 18:36:00,443.0799865722656,443.3299865722656,442.8800048828125,443.1300048828125,79712
2025-09-30 18:37:00,443.1300048828125,443.5400085449219,442.8999938964844,443.1300048828125,163071
2025-09-30 18:38:00,443.5950012207031,443.8800048828125,442.94000244140625,443.1600036621094,148524
2025-09-30 18:39:00,443.3299865722656,443.6700134277344,443.29998779296875,443.6299133300781,83722
2025-09-30 18:40:00,442.92498779296875,443.6000061035156,442.8999938964844,443.29998779296875,140197
2025-09-30 18:41:00,442.7301025390625,443.1499938964844,442.7300109863281,442.8999938964844,130297
2025-09-30 18:42:00,443.0199890136719,443.1098937988281,442.7300109863281,442.7699890136719,94465
2025-09-30 18:43:00,443.114990234375,443.30999755859375,442.95001220703125,443.03021240234375,101155
2025-09-30 18:44:00,443.3299865722656,443.54998779296875,443.1807861328125,443.19000244140625,109986
2025-09-30 18:45:00,443.26019287109375,443.6000061035156,443.239990234375,443.33270263671875,128668
2025-09-30 18:46:00,443.0950012207031,443.3999938964844,442.95001220703125,443.2441101074219,88874
2025-09-30 18:47:00,443.6767883300781,443.70001220703125,442.8999938964844,443.0899963378906,130472
2025-09-30 18:48:00,443.04278564453125,443.94989013671875,443.0,443.6571960449219,168229
2025-09-30 18:49:00,443.31500244140625,443.3494873046875,443.010498046875,443.04998779296875,77481
2025-09-30 18:50:00,443.0902099609375,443.4189147949219,442.92999267578125,443.32989501953125,102893
2025-09-30 18:51:00,442.5,443.1098937988281,442.44000244140625,443.07000732421875,222422
2025-09-30 18:52:00,442.7449951171875,442.9200134277344,442.32000732421875,442.5050048828125,170653
2025-09-30 18:53:00,442.7650146484375,442.8948059082031,442.6300964355469,442.75,76892
2025-09-30 18:54:00,442.489990234375,442.7900085449219,442.3500061035156,442.7900085449219,80675
2025-09-30 18:55:00,441.8489990234375,442.489990234375,441.80999755859375,442.489990234375,205699
2025-09-30 18:56:00,441.8599853515625,442.1000061035156,441.7699890136719,441.864990234375,115707
2025-09-30 18:57:00,442.0398864746094,442.20001220703125,441.8299865722656,441.8299865722656,107258
2025-09-30 18:58:00,442.3800048828125,442.45989990234375,442.0299987792969,442.0299987792969,113302
2025-09-30 18:59:00,441.9700012207031,442.4399108886719,441.94000244140625,442.3634948730469,94011
2025-09-30 19:00:00,442.2226867675781,442.29998779296875,441.7900085449219,442.010009765625,125421
2025-09-30 19:01:00,442.23748779296875,442.5,442.1600036621094,442.20001220703125,89340
2025-09-30 19:02:00,442.2099914550781,442.25909423828125,441.8872985839844,442.2167053222656,90388
2025-09-30 19:03:00,442.6400146484375,442.6499938964844,442.05999755859375,442.2200012207031,157378
2025-09-30 19:04:00,442.2749938964844,442.6400146484375,442.1199951171875,442.6050109863281,96331
2025-09-30 19:05:00,442.33990478515625,442.5299987792969,442.1300048828125,442.30999755859375,87631
2025-09-30 19:06:00,442.44000244140625,442.70001220703125,442.3500061035156,442.3500061035156,85828
2025-09-30 19:07:00,442.94000244140625,442.9700012207031,442.239990234375,442.45001220703125,108535
2025-09-30 19:08:00,442.864990234375,443.2799987792969,442.80999755859375,442.8999938964844,177033
2025-09-30 19:09:00,442.8599853515625,443.1299133300781,442.79998779296875,442.8699951171875,88258
2025-09-30 19:10:00,442.5212097167969,442.8900146484375,442.42041015625,442.8800048828125,107774
2025-09-30 19:11:00,442.2500915527344,442.5987854003906,442.1000061035156,442.54998779296875,99627
2025-09-30 19:12:00,442.2900085449219,442.364990234375,442.04998779296875,442.2699890136719,81260
2025-09-30 19:13:00,441.54998779296875,442.3299865722656,441.510009765625,442.260009765625,130022
